Television,Mobile only,Computer/Laptop (With Internet),Without Internet,Good,Livable,Dilapidated,Class
30.3,39.2,0.5,5.1,42.9,50.8,6.2,NO
30.3,39.2,0.5,5.1,42.9,50.8,6.2,NO
33.3,44.9,0.7,3.7,44.8,49.1,6.2,NO
27.2,40.5,0.5,3.7,42.6,51.6,5.8,NO
66.4,69.3,1.7,3.8,56.2,35.3,8.5,YES
21.6,47,0.2,3.6,32.6,58.6,8.8,NO
21.6,47,0.2,3.6,32.6,58.6,8.8,NO
30.2,47.1,0.4,2.7,43,51.2,5.8,NO
27.1,45.5,0.3,2.5,40.7,53.3,6,NO
57.4,62,1.1,5.1,63.6,32.4,4,YES
38.4,58.9,0.6,4.1,46.7,46.8,6.5,NO
38.4,58.9,0.6,4.1,46.7,46.8,6.5,NO
61.7,64.4,3.7,9.3,60.6,35.2,4.2,YES
38.9,58.5,0.9,4.4,43.9,48.5,7.5,YES
67.1,65.7,4.3,10.5,64.4,32.1,3.4,YES
32.3,54,0.5,3.7,38.1,52.9,9,NO
29.4,51.2,0.3,3.9,39.6,51.6,8.8,NO
46.6,67.9,1.7,3,31,58.8,10.3,YES
